Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
FHDC1	4	153857504	153900848	ENSG00000137460
KIAA0101	15	64657193	64679886	ENSG00000166803
SOD1	21	33031935	33041244	ENSG00000142168
PTPRC	HSCHR1_3_CTG31	198619288	198737899	ENSG00000262418
C7orf50	7	1036622	1177896	ENSG00000146540
RCL1	9	4792869	4885917	ENSG00000120158
VPS33B	15	91541646	91565833	ENSG00000184056
LY6G5B	HSCHR6_MHC_SSTO	31626842	31631270	ENSG00000239497
PPP1R16A	8	145703352	145727504	ENSG00000160972
SCOC	4	141178440	141306880	ENSG00000153130
SHOX	X	585079	620146	ENSG00000185960
OSBPL2	20	60813580	60871268	ENSG00000130703
PNRC2	GL000191.1	29663	33264	ENSG00000215700
CCR8	3	39371197	39375171	ENSG00000179934
SACS	13	23902965	24007841	ENSG00000151835
WDR89	14	64063757	64108579	ENSG00000140006
GPR146	7	1084212	1098897	ENSG00000164849
GYPB	4	144917257	145061844	ENSG00000250361
LY6G5C	HSCHR6_MHC_SSTO	31634408	31641761	ENSG00000111971
STX16	20	57226328	57254582	ENSG00000124222
SGPP1	14	64150932	64194757	ENSG00000126821
CRLF2	X	1314890	1331616	ENSG00000205755
SRSF10	GL000191.1	36277	50281	ENSG00000215699
SLC25A38	3	39424839	39438842	ENSG00000144659
TRIM2	4	154073494	154260472	ENSG00000109654
C20orf194	20	3229951	3388272	ENSG00000088854
B3GALT4	HSCHR6_MHC_QBL	33173759	33175444	ENSG00000206285
AL158147.2	9	4859120	4859260	ENSG00000269305
SLC6A11	3	10857885	10982419	ENSG00000132164
FAM198B	4	159045626	159094470	ENSG00000164125
CABLES1	18	20714528	20840431	ENSG00000134508
C2	HSCHR6_MHC_QBL	31855958	31903846	ENSG00000206372
RPSA	3	39448180	39454033	ENSG00000168028
SCAF4	21	33043346	33104388	ENSG00000156304
SLC35G5	8	11188397	11189717	ENSG00000177710
GALNT9	HG996_PATCH	132680924	132910380	ENSG00000259919
TNFRSF19	13	24144509	24250232	ENSG00000127863
IL2	4	123372625	123377880	ENSG00000109471
C8orf12	8	11225911	11296167	ENSG00000184608
HDAC8	X	71549366	71792953	ENSG00000147099
SPECC1L	22	24666786	24813708	ENSG00000100014
PBX3	9	128509624	128729656	ENSG00000167081
WDR46	HSCHR6_MHC_QBL	33175727	33186150	ENSG00000206284
PP13004	7	36118694	36125346	ENSG00000205745
PCIF1	20	44563267	44576662	ENSG00000100982
FAM167A	8	11278972	11332224	ENSG00000154319
CYP19A1	15	51500254	51630807	ENSG00000137869
CA1	8	86239837	86291243	ENSG00000133742
GPER1	7	1121844	1133451	ENSG00000164850
EDNRA	4	148402069	148466106	ENSG00000151617
JAK2	9	4985033	5128183	ENSG00000096968
EEPD1	7	36192758	36341152	ENSG00000122547
ABHD16A	HSCHR6_MHC_SSTO	31644674	31661153	ENSG00000230475
MIPEP	13	24304328	24463558	ENSG00000027001
PNLIPRP1	HG311_PATCH	118349897	118368687	ENSG00000262273
MND1	4	154265801	154336270	ENSG00000121211
TRIP4	15	64679947	64747502	ENSG00000103671
IL21	4	123533783	123542224	ENSG00000138684
ZFAND2A	7	1191707	1200395	ENSG00000178381
BLK	8	11351510	11422113	ENSG00000136573
PBX2	HSCHR6_MHC_QBL	32110133	32115584	ENSG00000206315
ADORA2A	22	24813847	24838328	ENSG00000128271
TYRO3	15	41849873	41871536	ENSG00000092445
TMEM144	4	159122756	159176563	ENSG00000164124
CLGN	4	141309609	141349122	ENSG00000153132
HUNK	21	33245628	33416946	ENSG00000142149
AL139080.1	13	24322243	24323901	ENSG00000268735
ZNF335	20	44577292	44600833	ENSG00000198026
BBS12	4	123653857	123666098	ENSG00000181004
C1QTNF9B	13	24465238	24476794	ENSG00000205863
CHD3	17	7788124	7816078	ENSG00000170004
CSF2RA	X	1387693	1429274	ENSG00000198223
CAMKK1	17	3763609	3798185	ENSG00000004660
AL161450.1	9	5077163	5084580	ENSG00000268155
SLC6A1	3	11034410	11080933	ENSG00000157103
INSL6	9	5131979	5185668	ENSG00000120210
ZNF609	15	64752941	64978264	ENSG00000180357
CPA5	HG1308_PATCH	129984656	130008571	ENSG00000266292
MIS18A	21	33640530	33651380	ENSG00000159055
UPB1	22	24863206	24924358	ENSG00000100024
INSL4	9	5231419	5235304	ENSG00000120211
FGF2	4	123747863	123819391	ENSG00000138685
ADRM1	20	60877149	60883918	ENSG00000130706
GATA4	8	11534468	11617511	ENSG00000136574
MVB12B	9	129089128	129269320	ENSG00000196814
GLDN	15	51633826	51700210	ENSG00000186417
CCDC11	18	47753563	47792892	ENSG00000172361
QDPR	4	17461884	17513857	ENSG00000151552
RLN2	9	5299868	5304969	ENSG00000107014
CPA1	HG1308_PATCH	130020180	130027955	ENSG00000264509
MRAP	21	33664124	33687095	ENSG00000170262
RLN1	9	5334969	5339873	ENSG00000107018
UNCX	7	1272543	1276954	ENSG00000164853
TMEM241	18	20777108	21017925	ENSG00000134490
POTEH	22	16256441	16287937	ENSG00000198062
BPTF	HG747_PATCH	65821640	65980494	ENSG00000262858
AL662890.5	HSCHR6_MHC_QBL	28730486	28730593	ENSG00000272652
MANSC4	12	27915671	27924209	ENSG00000205693
PLGRKT	9	5357973	5437878	ENSG00000107020
GPT	8	145728356	145732557	ENSG00000167701
CEP41	HG1308_PATCH	130036375	130082274	ENSG00000265594
GUCD1	22	24936406	24951903	ENSG00000138867
ZSCAN25	7	99214569	99230030	ENSG00000197037
TMEM184C	4	148538534	148593195	ENSG00000164168
TRIM27	HSCHR6_MHC_QBL	28870783	28891770	ENSG00000215641
NPEPL1	20	57264187	57294294	ENSG00000215440
URB1	21	33683329	33765335	ENSG00000142207
LY6G6F	HSCHR6_MHC_SSTO	31664595	31675540	ENSG00000241822
KIAA0922	4	154387498	154557863	ENSG00000121210
SPATA13	13	24553944	24881212	ENSG00000182957
MEGF11	HSCHR15_1_CTG8	66187417	66558222	ENSG00000263138
RP11-542P2.1	4	141363416	141419531	ENSG00000205301
CCL8	17	32646055	32648421	ENSG00000108700
CD274	9	5450503	5470566	ENSG00000120217
PFDN6	HSCHR6_MHC_QBL	33185925	33195021	ENSG00000206283
ATRN	20	3451687	3631769	ENSG00000088812
KIAA0125	14	106383838	106391825	ENSG00000226777
MICALL2	7	1468101	1499138	ENSG00000164877
LMX1B	9	129376722	129463311	ENSG00000136944
DASS-312M4.10	HSCHR6_MHC_SSTO	31664636	31675654	ENSG00000258880
C8orf49	8	11618896	11620309	ENSG00000255394
LY6G6E	HSCHR6_MHC_SSTO	31670072	31671548	ENSG00000226187
GPSM3	HSCHR6_MHC_QBL	32116164	32120921	ENSG00000206314
DNAJC5G	2	27498289	27504367	ENSG00000163793
GMPS	3	155588325	155661815	ENSG00000163655
NUDT6	4	123809852	123844123	ENSG00000170917
MEST	HG1308_PATCH	130126046	130146133	ENSG00000264872
OR11H1	22	16448824	16449805	ENSG00000130538
PTGES3	12	57057127	57082159	ENSG00000110958
LETM2	8	38243725	38267045	ENSG00000165046
CCT8L2	22	17071667	17073700	ENSG00000198445
C6orf100	HSCHR6_MHC_QBL	28911657	28912317	ENSG00000206526
KDM7A	7	139784546	139876835	ENSG00000006459
SNRPD3	22	24951471	25005947	ENSG00000100028
PDCD1LG2	9	5510545	5571282	ENSG00000197646
XKR3	22	17264302	17302589	ENSG00000172967
ANAPC13	3	134196548	134205558	ENSG00000129055
IL3RA	X	1455509	1501578	ENSG00000185291
NEIL2	8	11627148	11644855	ENSG00000154328
ZNF311	HSCHR6_MHC_QBL	28962562	28973093	ENSG00000169260
SV2B	15	91643180	91844539	ENSG00000185518
ESRRB	14	76776957	76968178	ENSG00000119715
LY6G6D	HSCHR6_MHC_SSTO	31673092	31675540	ENSG00000235302
FRS2	12	69864129	69973562	ENSG00000166225
C10orf82	HG311_PATCH	118423208	118429776	ENSG00000262564
C21orf119	21	33765439	33766254	ENSG00000256073
ZBTB43	9	129567285	129600489	ENSG00000169155
C1QTNF9	13	24881304	24896673	ENSG00000240654
CLMN	14	95648277	95786243	ENSG00000165959
PTCHD3	10	27687116	27703297	ENSG00000182077
GLIPR1L1	12	75728419	75764340	ENSG00000173401
NPFFR2	4	72897521	73013784	ENSG00000056291
OR9A2	7	142723245	142724282	ENSG00000179468
GAB4	22	17442826	17489112	ENSG00000215568
SCFD1	14	31091318	31205018	ENSG00000092108
HSPA12A	HG311_PATCH	118430705	118502086	ENSG00000263052
AL359736.1	13	24895264	24895566	ENSG00000205850
TTC14	3	180319918	180335616	ENSG00000163728
OR6V1	7	142749417	142750444	ENSG00000225781
KLHL42	12	27932953	27955973	ENSG00000087448
PIP	7	142829170	142836839	ENSG00000159763
ELMOD2	4	141445312	141474924	ENSG00000179387
SPATA32	17	43331760	43339479	ENSG00000184361
C17orf58	HG747_PATCH	65987217	65989765	ENSG00000263085
ZBTB34	9	129622944	129648157	ENSG00000177125
CCL13	17	32683471	32685629	ENSG00000181374
EVA1C	21	33784314	33887707	ENSG00000166979
PRMT10	4	148558936	148605381	ENSG00000164169
NOTCH4	HSCHR6_MHC_QBL	32120241	32149468	ENSG00000206312
SLC25A6	X	1505045	1511617	ENSG00000169100
ASTE1	3	130732719	130746493	ENSG00000034533
ZBTB12	HSCHR6_MHC_QBL	31857779	31860166	ENSG00000206366
GABRA5	15	27111510	27194354	ENSG00000186297
PARP4	13	24995064	25086948	ENSG00000102699
CA3	8	86285665	86361269	ENSG00000164879
HRH1	3	11178779	11305243	ENSG00000196639
SLCO3A1	15	92396925	92715665	ENSG00000176463
C3orf14	3	62304648	62321888	ENSG00000114405
GYPA	4	145030457	145061904	ENSG00000170180
SPATA5	4	123844229	124240605	ENSG00000145375
C6orf25	HSCHR6_MHC_SSTO	31676330	31684446	ENSG00000231003
KPNA2	HG747_PATCH	66031635	66042958	ENSG00000262472
TFE3	X	48886242	48901012	ENSG00000068323
AL662833.3	HSCHR6_MHC_COX	31111082	31111199	ENSG00000258060
LAMA5	20	60883011	60942368	ENSG00000130702
TAS2R39	7	142880512	142881528	ENSG00000236398
LRRC61	7	150019728	150035239	ENSG00000127399
CLRN2	4	17516788	17528727	ENSG00000249581
ACOT13	6	24667263	24705293	ENSG00000112304
DMXL2	15	51739908	51915030	ENSG00000104093
ATP5G1	17	46970127	46973233	ENSG00000159199
EFCAB3	17	60447579	60493837	ENSG00000172421
GDF2	10	48413092	48416853	ENSG00000128802
ARL14	3	160394948	160396233	ENSG00000179674
KCNH3	12	49932940	49952091	ENSG00000135519
OAZ2	15	64979772	64995480	ENSG00000180304
CA2	8	86376081	86393722	ENSG00000104267
GDF10	10	48425815	48438976	ENSG00000107623
RXRB	HSCHR6_MHC_MCF	33331732	33338829	ENSG00000235712
KDM1B	6	18155560	18224084	ENSG00000165097
TCF19	HSCHR6_MHC_COX	31118872	31124541	ENSG00000224379
RAB18	10	27793197	27831143	ENSG00000099246
MSRB3	12	65672423	65882024	ENSG00000174099
PPM1L	3	160473390	160796695	ENSG00000163590
BTAF1	10	93683526	93790082	ENSG00000095564
PTHLH	12	28111017	28125638	ENSG00000087494
AMZ2	HG747_PATCH	66243690	66253272	ENSG00000262747
KIAA1432	9	5629025	5776557	ENSG00000107036
ZBED6CL	7	150026938	150029808	ENSG00000188707
HLA-DPA1	HSCHR6_MHC_COX	32954322	32970527	ENSG00000224103
IL1F10	2	113825547	113833427	ENSG00000136697
FOXL2	3	138663066	138665982	ENSG00000183770
SFMBT2	10	7200586	7453450	ENSG00000198879
LAP3	4	17578815	17609595	ENSG00000002549
CFB	HSCHR6_MHC_QBL	31903824	31910258	ENSG00000241253
BRI3BP	12	125478246	125515777	ENSG00000184992
DEFB133	6	49913814	49917157	ENSG00000214643
RARRES2	7	150035408	150038763	ENSG00000106538
ASMTL	X	1522032	1572655	ENSG00000169093
IL17RA	22	17565844	17596583	ENSG00000177663
TCP10L	21	33948862	33959683	ENSG00000242220
SAMD14	17	48187404	48207246	ENSG00000167100
PCDHGC5	5	140868808	140892546	ENSG00000240764
SERPINE2	2	224839829	224904036	ENSG00000135919
DEFB114	6	49927962	49931818	ENSG00000177684
ANKRD22	10	90581889	90611575	ENSG00000152766
CEP63	3	134204585	134293859	ENSG00000182923
ZNF514	2	95813075	95831158	ENSG00000144026
ADAMTS3	4	73146686	73434516	ENSG00000156140
RXFP1	4	159236463	159574524	ENSG00000171509
RBPMS2	15	65032091	65067786	ENSG00000166831
LZTS2	10	102756375	102767593	ENSG00000107816
SLC25A46	5	110073837	110100857	ENSG00000164209
RALGPS1	9	129677053	129985445	ENSG00000136828
MMP9	20	44637547	44645200	ENSG00000100985
IER3	HSCHR6_MHC_DBB	30701238	30702593	ENSG00000227231
FEZF2	3	62355356	62359999	ENSG00000153266
SLC47A2	17	19581601	19622292	ENSG00000180638
SP5	2	171571861	171574588	ENSG00000204335
UCP1	4	141480588	141489959	ENSG00000109424
PPP1R9B	17	48211104	48227991	ENSG00000108819
PPP1CB	2	28974506	29025806	ENSG00000213639
AP000275.65	21	33951132	33984591	ENSG00000265590
C3orf72	3	138666076	138672293	ENSG00000206262
ERICH2	2	171640296	171655481	ENSG00000204334
MFSD3	8	145734457	145736596	ENSG00000167700
SNRPC	6	34725183	34741571	ENSG00000124562
GGT1	22	24979718	25024972	ENSG00000100031
PRR23A	3	138722804	138725110	ENSG00000206260
OAS1	12	113344582	113369990	ENSG00000089127
LY6G6C	HSCHR6_MHC_SSTO	31676384	31679581	ENSG00000235925
FDFT1	8	11653082	11696818	ENSG00000079459
ATG7	3	11313995	11599139	ENSG00000197548
ALDH8A1	6	135238528	135271260	ENSG00000118514
PIK3R6	17	8706041	8770994	ENSG00000174083
ABCA5	17	67240452	67323385	ENSG00000154265
DNPH1	6	43193367	43197222	ENSG00000112667
ARMC3	10	23216953	23326518	ENSG00000165309
CSNK2B-LY6G5B-1181	6	31633879	31641323	ENSG00000263020
BZW1	2	201675317	201688569	ENSG00000082153
CD300LF	17	72690452	72709117	ENSG00000186074
C21orf59	21	33964389	33985176	ENSG00000159079
CCL1	17	32687347	32690250	ENSG00000108702
GABRG3	15	27216429	27778373	ENSG00000182256
CECR6	22	17597189	17602257	ENSG00000183307
STAMBPL1	10	90639491	90734910	ENSG00000138134
WASH4P	16	64043	69452	ENSG00000234769
LY6G5B	6	31637944	31641553	ENSG00000240053
PTK2	8	141667999	142012315	ENSG00000169398
PIF1	15	65107831	65117867	ENSG00000140451
AC006946.15	22	17602476	17612994	ENSG00000235478
TLR2	4	154622652	154626851	ENSG00000137462
AP001362.1	11	65358665	65359947	ENSG00000269018
B3GALNT1	3	160801671	160823172	ENSG00000169255
RGL2	HSCHR6_MHC_QBL	33188277	33196019	ENSG00000206282
PNPLA1	6	36210980	36276372	ENSG00000180316
LAMB4	7	107663993	107770801	ENSG00000091128
C17orf102	17	32901142	32906388	ENSG00000197322
MRPS22	3	138724648	139076065	ENSG00000175110
GRM1	6	146348782	146758734	ENSG00000152822
CDKL3	5	133541305	133706738	ENSG00000006837
CYP3A5	7	99245817	99277621	ENSG00000106258
ARHGAP10	4	148653214	148993931	ENSG00000071205
CASP4	11	104813593	104840163	ENSG00000196954
TMEM9B	11	8968841	8986558	ENSG00000175348
JUND	19	18390563	18392432	ENSG00000130522
RPL19	17	37356536	37360980	ENSG00000108298
KCNK7	11	65360326	65363467	ENSG00000173338
TMEM132E	17	32907768	32966337	ENSG00000181291
C11orf31	11	57508825	57510986	ENSG00000211450
HNRNPA1	12	54673977	54680872	ENSG00000135486
IL22RA2	6	137464968	137494785	ENSG00000164485
P2RY8	X	1581465	1656000	ENSG00000182162
RNF175	4	154631277	154681387	ENSG00000145428
ATP12A	13	25254549	25285921	ENSG00000075673
PLD1	3	171318195	171528740	ENSG00000075651
SCRN3	2	175260458	175294303	ENSG00000144306
DDAH2	HSCHR6_MHC_SSTO	31684774	31688353	ENSG00000228128
EN1	2	119599747	119605254	ENSG00000163064
LSM4	19	18417040	18434084	ENSG00000130520
CYP2A6	19	41349443	41356352	ENSG00000255974
COPG2	HG1308_PATCH	130146082	130332402	ENSG00000266779
AATK	17	79091095	79139877	ENSG00000181409
FBL	19	40325098	40337054	ENSG00000105202
PHLDA2	11	2949503	2950685	ENSG00000181649
SLC22A25	11	62931248	62997124	ENSG00000196600
SH2B1	16	28857921	28885526	ENSG00000178188
AACS	12	125549925	125627873	ENSG00000081760
PCMT1	6	150070579	150132556	ENSG00000120265
CCDC163P	1	45959538	45965751	ENSG00000236624
C6orf10	HSCHR6_MHC_QBL	32218297	32297155	ENSG00000206310
PNISR	6	99845927	99873207	ENSG00000132424
NOS1	12	117645947	117889975	ENSG00000089250
TBC1D9	4	141541919	141677274	ENSG00000109436
AKAP17A	X	1710486	1721407	ENSG00000197976
POLR3K	16	96407	103628	ENSG00000161980
KIR3DL2	19	55361898	55378662	ENSG00000240403
ST8SIA2	15	92937058	93011958	ENSG00000140557
CCDC24	1	44457031	44462200	ENSG00000159214
GRAMD3	5	125695824	125832186	ENSG00000155324
BTN2A2	6	26383324	26395102	ENSG00000124508
ERMP1	9	5765076	5833117	ENSG00000099219
TAS2R40	7	142919130	142920162	ENSG00000221937
NBPF15	1	148555979	148596267	ENSG00000243452
SNRNP25	16	103010	107669	ENSG00000161981
KPNB1	17	45726842	45762871	ENSG00000108424
C1orf50	1	43232940	43263968	ENSG00000164008
CCDC61	19	46498339	46524576	ENSG00000104983
C6orf62	6	24705089	24721064	ENSG00000112308
MAP3K11	11	65365226	65382853	ENSG00000173327
AC073342.1	7	142919163	142919360	ENSG00000268170
FAM24B	10	124608594	124639157	ENSG00000213185
MUC5AC	11	1151580	1222364	ENSG00000215182
PGPEP1	19	18451397	18480760	ENSG00000130517
PPM1B	2	44395108	44471523	ENSG00000138032
PPFIA4	1	202995626	203047868	ENSG00000143847
FAM136A	2	70523107	70529222	ENSG00000035141
CAP1	1	40505905	40538321	ENSG00000131236
OCA2	15	28000021	28344504	ENSG00000104044
REXO1L1P	8	86568695	86575726	ENSG00000205176
KCNAB1	3	155755490	156256545	ENSG00000169282
GAD1	2	171669723	171717661	ENSG00000128683
REXO1L11P	8	86747543	86749570	ENSG00000223524
REXO1L10P	8	86756718	86758745	ENSG00000255940
CASP5	11	104864962	104893895	ENSG00000137757
BTNL2	HSCHR6_MHC_QBL	32318107	32332375	ENSG00000229597
GSTK1	7	142941186	142967947	ENSG00000197448
ATP6V0D2	8	86999552	87166457	ENSG00000147614
ASMT	X	1733894	1761974	ENSG00000196433
KIF6	6	39297766	39693181	ENSG00000164627
GRID1	10	87359312	88126250	ENSG00000182771
CECR5	22	17618401	17646177	ENSG00000069998
GDF15	19	18485541	18499986	ENSG00000130513
REPIN1	7	150065278	150071133	ENSG00000214022
CTD-2260A17.2	5	96149731	96271513	ENSG00000247121
GFRA4	20	3639939	3644046	ENSG00000125861
NRIP3	11	9002123	9025596	ENSG00000175352
MMACHC	1	45965725	45976739	ENSG00000132763
MBD1	18	47793252	47808144	ENSG00000141644
DEFB113	6	49936390	49937338	ENSG00000214642
SOWAHD	X	118892576	118894164	ENSG00000187808
SLC12A5	20	44650356	44688784	ENSG00000124140
FAM24A	10	124670217	124672627	ENSG00000203795
RPL39	X	118920467	118925606	ENSG00000198918
TIAL1	10	121334199	121356541	ENSG00000151923
SFRP2	4	154701744	154710272	ENSG00000145423
TIAM2	6	155153831	155578857	ENSG00000146426
DEFB110	6	49976851	49989694	ENSG00000203970
SCG3	15	51973550	52013223	ENSG00000104112
HHIP	4	145567173	145666423	ENSG00000164161
SPDYA	2	29005383	29073477	ENSG00000163806
RHBDF1	16	108058	126354	ENSG00000007384
ANGPTL2	9	129849611	129885162	ENSG00000136859
C6orf222	6	36283534	36304662	ENSG00000189325
DIAPH1	5	140894583	140998622	ENSG00000131504
LRRC25	19	18501954	18508427	ENSG00000175489
MOBP	3	39508689	39570970	ENSG00000168314
PSKH2	8	87060602	87100850	ENSG00000147613
OR2W1	HSCHR6_MHC_QBL	29011990	29013017	ENSG00000206525
TRIM15	HSCHR6_MHC_DBB	30121295	30130785	ENSG00000235960
SLC22A9	11	63137261	63177766	ENSG00000149742
MAP4K4	2	102313312	102511149	ENSG00000071054
OR2B3	HSCHR6_MHC_QBL	29053987	29055092	ENSG00000206524
PGLYRP1	19	46522411	46526323	ENSG00000008438
UBE2Z	17	46985731	47006418	ENSG00000159202
PRDX1	1	45976708	45988719	ENSG00000117450
SLC37A3	7	139993493	140104233	ENSG00000157800
DEFB112	6	50011288	50016364	ENSG00000180872
RECQL4	8	145736667	145743229	ENSG00000160957
HRAS	11	532242	537287	ENSG00000174775
SLC30A5	5	68389473	68426896	ENSG00000145740
OR2J3	HSCHR6_MHC_QBL	29079675	29080610	ENSG00000206522
FAM211B	22	24981588	24989175	ENSG00000178026
OR2J2	HSCHR6_MHC_QBL	29141323	29142363	ENSG00000234746
IFNGR1	6	137518621	137540586	ENSG00000027697
NAP1L4	11	2965667	3013607	ENSG00000205531
TSGA13	HG1308_PATCH	130332302	130351086	ENSG00000266159
SLC39A7	HSCHR6_MHC_MCF	33338586	33342580	ENSG00000224399
HLA-DRA	HSCHR6_MHC_QBL	32365090	32370300	ENSG00000206308
FAM124B	2	225243415	225266802	ENSG00000124019
CCDC120	X	48911101	48927509	ENSG00000147144
TFAP2D	6	50681541	50740701	ENSG00000008197
IGFL4	19	46543006	46580376	ENSG00000204869
PCNXL3	11	65383244	65404910	ENSG00000197136
AL935156.1	HSCHR6_MHC_QBL	29143289	29163375	ENSG00000258138
CCT2	12	69979114	69995350	ENSG00000166226
OR10C1	HSCHR6_MHC_QBL	29384966	29408622	ENSG00000220550
CCDC23	1	43272723	43282954	ENSG00000177868
DHRSX	X	2137557	2420846	ENSG00000169084
PCP2	19	7696497	7698634	ENSG00000174788
IL1RN	2	113864791	113891593	ENSG00000136689
ACD	16	67691415	67694713	ENSG00000102977
IGFL3	19	46623328	46627931	ENSG00000188624
OR11A1	HSCHR6_MHC_QBL	29393173	29424735	ENSG00000206517
MT-ND1	MT	3307	4262	ENSG00000198888
ETAA1	2	67624451	67637677	ENSG00000143971
MT-ND2	MT	4470	5511	ENSG00000198763
ARHGAP27	17	43471275	43511787	ENSG00000159314
CYP2A7	19	41381344	41388657	ENSG00000198077
ADAM33	20	3648612	3662893	ENSG00000149451
MT-CO1	MT	5904	7445	ENSG00000198804
DCHS2	4	155153399	155412930	ENSG00000197410
MT-CO2	MT	7586	8269	ENSG00000198712
MT-ATP8	MT	8366	8572	ENSG00000228253
SYNE2	14	64319683	64693165	ENSG00000054654
MT-ATP6	MT	8527	9207	ENSG00000198899
VASH1	14	77228532	77249354	ENSG00000071246
MARCO	2	119699742	119752236	ENSG00000019169
MT-CO3	MT	9207	9990	ENSG00000198938
OR2H1	HSCHR6_MHC_QBL	29424845	29431993	ENSG00000206516
PTPN20B	10	48736874	48827966	ENSG00000183675
SYNJ1	21	34001069	34100359	ENSG00000159082
MT-ND3	MT	10059	10404	ENSG00000198840
BTBD18	11	57510986	57519253	ENSG00000233436
ERAP2	5	96211643	96255420	ENSG00000164308
MT-ND4L	MT	10470	10766	ENSG00000212907
MT-ND4	MT	10760	12137	ENSG00000198886
MT-ND5	MT	12337	14148	ENSG00000198786
RAB32	6	146864829	146876101	ENSG00000118508
ZBED1	X	2404455	2419008	ENSG00000214717
MT-ND6	MT	14149	14673	ENSG00000198695
COX18	4	73921797	73935472	ENSG00000163626
OR11H12	14	19377522	19378606	ENSG00000257115
MT-CYB	MT	14747	15887	ENSG00000198727
SEPT1	16	30389755	30393863	ENSG00000270466
AC006156.1	Y	9293012	9344176	ENSG00000225516
RNF150	4	141780961	142134031	ENSG00000170153
PIWIL3	22	25115001	25170687	ENSG00000184571
MDGA2	14	47311134	48143999	ENSG00000272781
NACA	12	57106212	57125412	ENSG00000196531
RASGRP2	11	64494383	64512928	ENSG00000068831
IFRG15	1	179833916	179834311	ENSG00000258664
NELFE	HSCHR6_MHC_QBL	31910261	31917261	ENSG00000206357
SLC6A9	1	44457172	44497139	ENSG00000196517
MAS1L	HSCHR6_MHC_QBL	29454362	29455626	ENSG00000206515
AC005358.1	17	12626199	12661542	ENSG00000273452
ERMAP	1	43282795	43310660	ENSG00000164010
POTEG	14	19553365	19590078	ENSG00000222036
RPS21	20	60962172	60963576	ENSG00000171858
STXBP2	19	7701767	7712759	ENSG00000076944
SCUBE2	11	9041071	9159661	ENSG00000175356
CLIC1	HSCHR6_MHC_SSTO	31688317	31697500	ENSG00000223639
LYSMD2	15	52015208	52043782	ENSG00000140280
SGCA	17	48241575	48253292	ENSG00000108823
C1D	2	68268262	68338080	ENSG00000197223
STAC2	17	37366789	37382125	ENSG00000141750
KIAA0895	7	36363830	36429734	ENSG00000164542
HLA-DRB3	HSCHR6_MHC_QBL	32417557	32430644	ENSG00000196101
HSD17B8	HSCHR6_MHC_MCF	33342783	33344972	ENSG00000232357
RIOK3	18	21032787	21066567	ENSG00000101782
CNOT8	5	154237113	154256353	ENSG00000155508
CD99	X	2609220	2659350	ENSG00000002586
DEK	6	18224099	18265054	ENSG00000124795
MCRS1	12	49950327	49961936	ENSG00000187778
